step,learning_rate,train_loss,val_loss
0,2.5e-06,5.026564121246338,5.0267126083374025
50,0.0001275,4.768980598449707,4.825850582122802
100,0.0002525,4.039491462707519,4.049148654937744
150,0.0003775,3.5007606506347657,3.3858356952667235
200,0.0005,3.2328861236572264,3.114504909515381
250,0.000491992569177931,3.1628444671630858,3.0897052764892576
300,0.0004685159698893431,3.0461496829986574,2.9231760501861572
350,0.00043117009357883867,2.88997368812561,2.86538028717041
400,0.00038250000000000003,2.880634069442749,2.7480571269989014
450,0.0003258224755990924,2.796462965011597,2.7261189937591555
500,0.000265,2.6461415767669676,2.622426748275757
550,0.0002041775244009076,2.6233103275299072,2.5401963233947753
600,0.00014750000000000006,2.6092654705047607,2.522024726867676
650,9.882990642116134e-05,2.5605905055999756,2.4658077239990233
700,6.14840301106569e-05,2.5285686016082765,2.4525880813598633
750,3.8007430822068975e-05,2.548637533187866,2.3637454509735107
799,3.0003221321854717e-05,2.467499113082886,2.50300612449646
